title,price,Body Type,colours,Boot Space,Seating Capacity,No. of Doors,Ground Clearance,Engine Type,Displacement,Drive Train,Horse Power,Torque,Fuel System,Max Speed,Transmission Type,Front Brakes,Rear Brakes,Wheel Type,Tyre Size,Wheel Size,Mileage City,Fuel Tank Capacity,Mileage Highway,No. of Airbags,No. of Seatbelts,Number of Speakers,Handbrake,overall_rating,Style,Comfort,Fuel Economy,Performance,Value for Money,image_srcs,what we like,what we dont like,Rear Folding Seat,Child Lock,Heater,Keyless Entry,Defogger,Central Locking,Power Door Locks,Power Steering,Anti-Theft Alarm System,Bluetooth Connectivity,Air Conditioner (AC),Hill Start Assist Control,Anti-Lock Braking System (ABS),Auto Brake Hold,Power Windows,Power Mirrors,Auto Retractable Side Mirrors,Driver Seat Belt Warning,Steering Adjustment,Fog Lights,Traction Control,Vehicle Stability Control,Rear Fog Lamp,ISOFIX Child Seat Anchors,Adjustable Headlights,Side Mirrors with Indicators,DRLs,Android Auto,Apple Car Play,Climate Control,Navigation,Arm Rest,Cruise Control,Push Start,Rear Camera,Rear Parking Sensors,Automatic Head Lamps,Down Hill Assist Control,Brake Assist (BA),Paddle Shifter,Front Camera,Sun Roof,Rear Spoiler,Autonomous Emergency Braking (AEB),Auto Parking System,BlindSpot Detection (BSD),Moon Roof,Front Parking Sensors,Driver Seat Electric Adjustment,Lane Departure Warning System (LDWS),Lane Keep Assist System (LKAS),Heads Up Display (HUD),Heated Seats,Remote Engine Start,Tyre Pressure Monitoring System (TPMS),Dual Exhaust,Rear Seat Entertainment,360 Camera,Wireless Charger,Electric Motor Power,Battery type,Battery Capacity,Charging time,Range
Toyota Corolla Cross 1.8 HEV,PKR 93.99 lacs,SUV,"['Celestite Gray Metallic', 'Platinum White Pearl', 'Attitude Black Mica', 'Metal Stream Metallic', 'Red Mica Metallic', 'Nebula Blue', 'Graphite Metallic']",487 L,5 persons,5 doors,161 mm,Hybrid,1798 cc,FWD,96 HP @ 5200 RPM,142 Nm @ 3600 RPM,Direct Fuel Injection,180 KM/H,Automatic (CVT),Ventilated Disc,Solid Disc,Alloy Rims,215/60/R17,17 in,18 KM/L,36 L,20 KM/L,7,5,6,Pedal,none,none,none,none,none,none,"['https://cache4.pakwheels.com/system/car_generation_pictures/7493/original/20200709104304_ac2.jpg?1685107928', 'https://cache1.pakwheels.com/system/car_generation_pictures/7641/original/Front.jpg?1702895871', 'https://cache2.pakwheels.com/system/car_generation_pictures/7642/original/Rear-Light.jpg?1702895872', 'https://cache2.pakwheels.com/system/car_generation_pictures/7643/original/Rear-Side.jpg?1702895872', 'https://cache2.pakwheels.com/system/car_generation_pictures/7644/original/SIde-Mirror.jpg?1702895873', 'https://cache4.pakwheels.com/system/car_generation_pictures/7645/original/Side-Profile.jpg?1702895873', 'https://cache3.pakwheels.com/system/car_generation_pictures/7646/original/Steering-Controls-1.jpg?1702895874', 'https://cache3.pakwheels.com/system/car_generation_pictures/7647/original/White-Base-PS.jpg?1702895874', 'https://cache1.pakwheels.com/system/car_generation_pictures/7648/original/Climate-COntrol.jpg?1702895899', 'https://cache1.pakwheels.com/system/car_generation_pictures/7649/original/Cluster.jpg?1702895899', 'https://cache2.pakwheels.com/system/car_generation_pictures/7650/original/cockpit.jpg?1702895900', 'https://cache4.pakwheels.com/system/car_generation_pictures/7651/original/Infotainment.jpg?1702895900']","['Hybrid Engine', 'Power-packed Features', 'Safe Drive', 'Wireless Charging']",['Expensive in its category'],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,none,none,Yes,none,Yes,Yes,Yes,Yes,Yes,none,none,none,none,none,none,Yes,none,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Corolla Cross 1.8 HEV X,PKR 98.49 lacs,SUV,"['Celestite Gray Metallic', 'Platinum White Pearl', 'Attitude Black Mica', 'Metal Stream Metallic', 'Red Mica Metallic', 'Nebula Blue', 'Graphite Metallic']",487 L,5 persons,5 doors,161 mm,Hybrid,1798 cc,FWD,96 HP @ 5200 RPM,142 Nm @ 3600 RPM,Direct Fuel Injection,180 KM/H,Automatic (CVT),Ventilated Disc,Solid Disc,Alloy Rims,215/60/R17,17 in,25 KM/L,36 L,20 KM/L,7,5,6,Pedal,4,5-rating,5-rating,5-rating,5-rating,4-rating,"['https://cache4.pakwheels.com/system/car_generation_pictures/7493/original/20200709104304_ac2.jpg?1685107928', 'https://cache1.pakwheels.com/system/car_generation_pictures/7641/original/Front.jpg?1702895871', 'https://cache2.pakwheels.com/system/car_generation_pictures/7642/original/Rear-Light.jpg?1702895872', 'https://cache2.pakwheels.com/system/car_generation_pictures/7643/original/Rear-Side.jpg?1702895872', 'https://cache2.pakwheels.com/system/car_generation_pictures/7644/original/SIde-Mirror.jpg?1702895873', 'https://cache4.pakwheels.com/system/car_generation_pictures/7645/original/Side-Profile.jpg?1702895873', 'https://cache3.pakwheels.com/system/car_generation_pictures/7646/original/Steering-Controls-1.jpg?1702895874', 'https://cache3.pakwheels.com/system/car_generation_pictures/7647/original/White-Base-PS.jpg?1702895874', 'https://cache1.pakwheels.com/system/car_generation_pictures/7648/original/Climate-COntrol.jpg?1702895899', 'https://cache1.pakwheels.com/system/car_generation_pictures/7649/original/Cluster.jpg?1702895899', 'https://cache2.pakwheels.com/system/car_generation_pictures/7650/original/cockpit.jpg?1702895900', 'https://cache4.pakwheels.com/system/car_generation_pictures/7651/original/Infotainment.jpg?1702895900']","['Hybrid Engine', 'Power-packed Features', 'Safe Drive', 'Wireless Charging']",['Expensive in its category'],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,none,none,Yes,Yes,none,none,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Hilux E,PKR 1.10 crores,"Double Cabin, Truck, Pick Up","['Attitude Black', 'Blue Mist', 'Grey Graphite', 'Silver Metallic', 'Super White']",-,5 persons,4 doors,310 mm,Diesel,2755 cc,4x4,201 HP @ 3400 RPM,420 Nm @ 3400 RPM,Common Rail,200 KM/H,Manual,Ventilated Disc,Drum,Steel Wheel,225/70/R17,17 in,10 KM/L,80 L,12 KM/L,2,4,2,Manual,none,none,none,none,none,none,"['https://cache2.pakwheels.com/system/car_generation_pictures/6006/original/Revo_-_PNG.png?1635483853', 'https://cache3.pakwheels.com/system/car_generation_pictures/5575/original/revo_2.JPG?1629791761', 'https://cache3.pakwheels.com/system/car_generation_pictures/5576/original/revo_3.JPG?1629791762', 'https://cache1.pakwheels.com/system/car_generation_pictures/5577/original/revo_5.JPG?1629791762', 'https://cache2.pakwheels.com/system/car_generation_pictures/5578/original/revo_4.JPG?1629791763', 'https://cache3.pakwheels.com/system/car_generation_pictures/5579/original/revo_7.JPG?1629791763', 'https://cache4.pakwheels.com/system/car_generation_pictures/5580/original/revo_6.JPG?1629791764', 'https://cache3.pakwheels.com/system/car_generation_pictures/5574/original/2021-toyota-hilux-launched-in-thailand.jpg?1629791761', 'https://cache4.pakwheels.com/system/car_generation_pictures/6480/original/Cockpit.jpg?1658994145', 'https://cache1.pakwheels.com/system/car_generation_pictures/6481/original/Gear.jpg?1658994145', 'https://cache3.pakwheels.com/system/car_generation_pictures/6482/original/Climate.jpg?1658994146', 'https://cache1.pakwheels.com/system/car_generation_pictures/6483/original/Seats.jpg?1658994146']","['Refined diesel driveline', 'Strong off-road ability', 'Resale value', 'First in truck category to be introduced in Pakistan', 'Bulky Exterior Looks']","['Basic interior', 'Bouncy ride', 'Poor maneuverability', 'Expensive Maintenance and Spare Parts']",none,Yes,Yes,Yes,none,Yes,none,Yes,Yes,Yes,Yes,none,Yes,none,none,none,none,Yes,Yes,Yes,none,none,none,none,none,none,none,Yes,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Hilux Revo G 2.8,PKR 1.20 crores,"Double Cabin, Truck, Pick Up","['Attitude Black', 'Blue Mist', 'Grey Graphite', 'Silver Mettalic', 'Super White']",435 L,5 persons,4 doors,310 mm,Diesel,2755 cc,4x4,201 HP @ 3400 RPM,420 Nm @ 3400 RPM,Common Rail,200 KM/H,Manual,Ventilated Disc,Drum,Alloy Wheels,265/65/R17,17 in,10 KM/L,80 L,12 KM/L,3,4,4,Manual,4,5-rating,3-rating,4-rating,4-rating,4-rating,"['https://cache2.pakwheels.com/system/car_generation_pictures/6006/original/Revo_-_PNG.png?1635483853', 'https://cache3.pakwheels.com/system/car_generation_pictures/5575/original/revo_2.JPG?1629791761', 'https://cache3.pakwheels.com/system/car_generation_pictures/5576/original/revo_3.JPG?1629791762', 'https://cache1.pakwheels.com/system/car_generation_pictures/5577/original/revo_5.JPG?1629791762', 'https://cache2.pakwheels.com/system/car_generation_pictures/5578/original/revo_4.JPG?1629791763', 'https://cache3.pakwheels.com/system/car_generation_pictures/5579/original/revo_7.JPG?1629791763', 'https://cache4.pakwheels.com/system/car_generation_pictures/5580/original/revo_6.JPG?1629791764', 'https://cache3.pakwheels.com/system/car_generation_pictures/5574/original/2021-toyota-hilux-launched-in-thailand.jpg?1629791761', 'https://cache4.pakwheels.com/system/car_generation_pictures/6480/original/Cockpit.jpg?1658994145', 'https://cache1.pakwheels.com/system/car_generation_pictures/6481/original/Gear.jpg?1658994145', 'https://cache3.pakwheels.com/system/car_generation_pictures/6482/original/Climate.jpg?1658994146', 'https://cache1.pakwheels.com/system/car_generation_pictures/6483/original/Seats.jpg?1658994146']","['Refined diesel driveline', 'Strong off-road ability', 'Resale value', 'First in truck category to be introduced in Pakistan', 'Bulky Exterior Looks']","['Basic interior', 'Bouncy ride', 'Poor maneuverability', 'Expensive Maintenance and Spare Parts']",none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,none,none,none,Yes,none,Yes,none,none,Yes,Yes,none,none,Yes,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Hilux Revo G Automatic 2.8,PKR 1.25 crores,"Double Cabin, Truck, Pick Up","['Attitude Black', 'Blue Mist', 'Grey Graphite', 'Silver Metallic', 'Super White']",435 L,5 persons,4 doors,310 mm,Diesel,2755 cc,4x4,201 HP @ 3400 RPM,500 Nm @ 2800 RPM,Common Rail,200 KM/H,Automatic (AT),Ventilated Disc,Drum,Alloy Wheels,265/65/17,17 in,9 KM/L,80 L,11 KM/L,3,4,4,Manual,none,none,none,none,none,none,"['https://cache2.pakwheels.com/system/car_generation_pictures/6006/original/Revo_-_PNG.png?1635483853', 'https://cache3.pakwheels.com/system/car_generation_pictures/5575/original/revo_2.JPG?1629791761', 'https://cache3.pakwheels.com/system/car_generation_pictures/5576/original/revo_3.JPG?1629791762', 'https://cache1.pakwheels.com/system/car_generation_pictures/5577/original/revo_5.JPG?1629791762', 'https://cache2.pakwheels.com/system/car_generation_pictures/5578/original/revo_4.JPG?1629791763', 'https://cache3.pakwheels.com/system/car_generation_pictures/5579/original/revo_7.JPG?1629791763', 'https://cache4.pakwheels.com/system/car_generation_pictures/5580/original/revo_6.JPG?1629791764', 'https://cache3.pakwheels.com/system/car_generation_pictures/5574/original/2021-toyota-hilux-launched-in-thailand.jpg?1629791761', 'https://cache4.pakwheels.com/system/car_generation_pictures/6480/original/Cockpit.jpg?1658994145', 'https://cache1.pakwheels.com/system/car_generation_pictures/6481/original/Gear.jpg?1658994145', 'https://cache3.pakwheels.com/system/car_generation_pictures/6482/original/Climate.jpg?1658994146', 'https://cache1.pakwheels.com/system/car_generation_pictures/6483/original/Seats.jpg?1658994146']","['Refined diesel driveline', 'Strong off-road ability', 'Resale value', 'First in truck category to be introduced in Pakistan', 'Bulky Exterior Looks']","['Basic interior', 'Bouncy ride', 'Poor maneuverability', 'Expensive Maintenance and Spare Parts']",none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,Yes,Yes,none,Yes,none,none,Yes,Yes,Yes,none,Yes,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Hilux Revo V Automatic 2.8,PKR 1.38 crores,"Double Cabin, Truck, Pick Up","['Attitude Black', 'Blue Mist', 'Grey Graphite', 'Silver Metallic', 'Super White']",435 L,5 persons,4 doors,310 mm,Diesel,2755 cc,4x4,201 HP @ 3400 RPM,500 Nm @ 2800 RPM,Common Rail,200 KM/H,Automatic (AT),Ventilated Disc,Drum,Alloy Wheels,265/60/18,18 in,9 KM/L,80 L,11 KM/L,3,5,6,Manual,4,5-rating,4-rating,5-rating,5-rating,4-rating,"['https://cache2.pakwheels.com/system/car_generation_pictures/6006/original/Revo_-_PNG.png?1635483853', 'https://cache3.pakwheels.com/system/car_generation_pictures/5575/original/revo_2.JPG?1629791761', 'https://cache3.pakwheels.com/system/car_generation_pictures/5576/original/revo_3.JPG?1629791762', 'https://cache1.pakwheels.com/system/car_generation_pictures/5577/original/revo_5.JPG?1629791762', 'https://cache2.pakwheels.com/system/car_generation_pictures/5578/original/revo_4.JPG?1629791763', 'https://cache3.pakwheels.com/system/car_generation_pictures/5579/original/revo_7.JPG?1629791763', 'https://cache4.pakwheels.com/system/car_generation_pictures/5580/original/revo_6.JPG?1629791764', 'https://cache3.pakwheels.com/system/car_generation_pictures/5574/original/2021-toyota-hilux-launched-in-thailand.jpg?1629791761', 'https://cache4.pakwheels.com/system/car_generation_pictures/6480/original/Cockpit.jpg?1658994145', 'https://cache1.pakwheels.com/system/car_generation_pictures/6481/original/Gear.jpg?1658994145', 'https://cache3.pakwheels.com/system/car_generation_pictures/6482/original/Climate.jpg?1658994146', 'https://cache1.pakwheels.com/system/car_generation_pictures/6483/original/Seats.jpg?1658994146']","['Refined diesel driveline', 'Strong off-road ability', 'Resale value', 'First in truck category to be introduced in Pakistan', 'Bulky Exterior Looks']","['Basic interior', 'Bouncy ride', 'Poor maneuverability', 'Expensive Maintenance and Spare Parts']",none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,none,none,Yes,Yes,none,none,none,none,none,none,none,none,none,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Hilux Revo Rocco,PKR 1.44 crores,"Double Cabin, Truck, Pick Up","['Attitude Black', 'Blue Mist', 'Grey Graphite', 'Silver Metallic', 'Super White']",435 L,5 persons,4 doors,310 mm,Diesel,2755 cc,4x4,201 HP @ 3400 RPM,500 Nm @ 2800 RPM,Common Rail,200 KM/H,Automatic (AT),Ventilated Disc,Drum,Alloy Wheels,265/60/R18,18 in,9 KM/L,80 L,11 KM/L,3,5,6,Manual,4,5-rating,3-rating,3-rating,4-rating,4-rating,"['https://cache2.pakwheels.com/system/car_version_specification_pictures/853/original/2.jpg?1679484579', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/864/original/13.jpg?1679484584', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/863/original/12.jpg?1679484584', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/861/original/10.jpg?1679484583', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/862/original/11.jpg?1679484583', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/852/original/1.jpg?1679484579', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/860/original/9.jpg?1679484582', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/859/original/8.jpg?1679484582', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/857/original/6.jpg?1679484581', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/856/original/5.jpg?1679484581', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/855/original/4.jpg?1679484580', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/854/original/3.jpg?1679484580', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/858/original/7.jpg?1679484581', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/865/original/14.jpg?1679484608', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/866/original/15.jpg?1679484608', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/867/original/16.jpg?1679484609', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/868/original/17.jpg?1679484609', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/869/original/18.jpg?1679484609', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/870/original/19.jpg?1679484610', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/872/original/21.jpg?1679484611', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/871/original/20.jpg?1679484610', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/874/original/23.jpg?1679484612', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/873/original/22.jpg?1679484611', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/875/original/24.jpg?1679484612', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/876/original/25.jpg?1679484613']","['Refined diesel driveline', 'Strong off-road ability', 'Resale value', 'First in truck category to be introduced in Pakistan', 'Bulky Exterior Looks']","['Basic interior', 'Bouncy ride', 'Poor maneuverability', 'Expensive Maintenance and Spare Parts']",none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,none,none,none,none,none,none,none,none,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Hilux Revo GR-S,PKR 1.54 crores,"Double Cabin, Truck, Pick Up","['Attitude Black', 'Blue Mist', 'Grey Graphite', 'Silver Metallic', 'Super White']",435 L,5 persons,4 doors,310 mm,Diesel,2755 cc,4x4,201 HP @ 3400 RPM,500 Nm @ 2800 RPM,Common Rail,200 KM/H,Automatic (AT),Ventilated Disc,Drum,Alloy Wheels,265/60/R18,18 in,8 KM/L,80 L,11 KM/L,3,5,6,Manual,4,5-rating,4-rating,5-rating,5-rating,5-rating,"['https://cache1.pakwheels.com/system/car_version_specification_pictures/426/original/Toyota_Hilux_Revo_GR-S_2023_.png?1679076556', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/877/original/WhatsApp_Image_2023-03-22_at_4.28.28_PM_(1).jpeg?1679485386', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/878/original/WhatsApp_Image_2023-03-22_at_4.28.28_PM.jpeg?1679485387', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/879/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(2).jpeg?1679485387', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/880/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(3).jpeg?1679485388', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/881/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(4).jpeg?1679485388', 'https://cache2.pakwheels.com/system/car_version_specification_pictures/882/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(5).jpeg?1679485389', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/883/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(6).jpeg?1679485389', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/884/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(7).jpeg?1679485390', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/885/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(9).jpeg?1679485390', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/886/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(10).jpeg?1679485391', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/887/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(11).jpeg?1679485392', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/888/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(13).jpeg?1679485392', 'https://cache3.pakwheels.com/system/car_version_specification_pictures/889/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(14).jpeg?1679485392', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/890/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(15).jpeg?1679485393', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/891/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM.jpeg?1679485393', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/892/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(1).jpeg?1679485463', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/893/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(8).jpeg?1679485464', 'https://cache4.pakwheels.com/system/car_version_specification_pictures/894/original/WhatsApp_Image_2023-03-22_at_4.40.02_PM_(12).jpeg?1679485464', 'https://cache1.pakwheels.com/system/car_version_specification_pictures/895/original/WhatsApp_Image_2023-03-22_at_4.28.28_PM.jpeg?1679485650']","['Refined diesel driveline', 'Strong off-road ability', 'Resale value', 'First in truck category to be introduced in Pakistan', 'Bulky Exterior Looks']","['Basic interior', 'Bouncy ride', 'Poor maneuverability', 'Expensive Maintenance and Spare Parts']",none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,Yes,Yes,none,none,none,none,none,none,none,none,none,none,none,none,none,none,none
Toyota Prius 1.8 U Hybrid,PKR 1.20 crores,Sedan,"['Attitude Black', 'Pearl Ice White', 'Tokyo Gold', 'Storm Grey', 'Pearl Red', 'Orion Blue']",412 L,5 persons,5 doors,150 mm,Hybrid,1797 cc,AWD,134 HP @ 5200 RPM,142 Nm @ 3600 RPM,direct in-cylinder + port fuel injection system,162 KM/H,Automatic (CVT),Ventilated Disc,Solid Disc,Alloy Wheels,195/60/R15,15 in,30 KM/L,43 L,31 KM/L,7,4,10,Electric Handbrake,none,none,none,none,none,none,"['https://cache1.pakwheels.com/system/car_generation_pictures/7604/original/20230110_01_06.jpg?1701413618', 'https://cache4.pakwheels.com/system/car_generation_pictures/7605/original/20230110_01_07.jpg?1701413619', 'https://cache1.pakwheels.com/system/car_generation_pictures/7606/original/20230110_01_46.jpg?1701413916']",['Excellent Fuel Average'],['Low parts availability'],Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,Yes,none,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,Yes,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,none,none,none,none,none,none,none
Toyota Prius 2.0 G Hybrid,PKR 1.25 crores,Sedan,"['Attitude Black', 'Pearl Ice White', 'Storm Grey', 'Pearl Red', 'Orion Blue', 'Atomic Silver']",-,5 persons,4 doors,150 mm,Hybrid,1986 cc,AWD,152 HP @ 6000 RPM,188 Nm @ 5200 RPM,Direct in-cylinder + port fuel injection system (D,162 KM/H,Automatic (CVT),Ventilated Disc,Solid Disc,Alloy Wheels,195/60/R17,17 in,26 KM/L,43 L,28 KM/L,7,5,10,Electric,none,none,none,none,none,none,"['https://cache1.pakwheels.com/system/car_generation_pictures/7604/original/20230110_01_06.jpg?1701413618', 'https://cache4.pakwheels.com/system/car_generation_pictures/7605/original/20230110_01_07.jpg?1701413619', 'https://cache1.pakwheels.com/system/car_generation_pictures/7606/original/20230110_01_46.jpg?1701413916']",['Excellent Fuel Average'],['Low parts availability'],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,none,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,Yes,none,none,Yes,none,Yes,none,Yes,Yes,none,Yes,Yes,Yes,none,Yes,none,none,none,none,none,none,none,none,none
Toyota Prius 2.0 Z Hybrid,PKR 1.28 crores,Sedan,"['Attitude Black', 'Pearl Ice White', 'Tokyo Gold', 'Atomic Silver', 'Storm Grey', 'Pearl Red', 'Orion Blue']",-,5 persons,4 doors,150 mm,Hybrid,1986 cc,AWD,152 HP @ 6000 RPM,188 Nm @ 5200 RPM,Direct in-cylinder + port fuel injection system (D,162 KM/H,Automatic (CVT),Ventilated Disc,Solid Disc,Alloy Wheels,195/60/R17,17 in,26 KM/L,43 L,28 KM/L,7,5,10,Electric,none,none,none,none,none,none,"['https://cache1.pakwheels.com/system/car_generation_pictures/7604/original/20230110_01_06.jpg?1701413618', 'https://cache4.pakwheels.com/system/car_generation_pictures/7605/original/20230110_01_07.jpg?1701413619', 'https://cache1.pakwheels.com/system/car_generation_pictures/7606/original/20230110_01_46.jpg?1701413916']",['Excellent Fuel Average'],['Low parts availability'],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,none,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,Yes,none,none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,none,none,none,none,none,none,none,none
Toyota Prius Z Phev,PKR 1.65 crores,Sedan,"['Attitude Black', 'Pearl Ice White', 'Tokyo Gold', 'Atomic Silver', 'Storm Grey', 'Orion Blue', 'Pearl Red']",284 L,5 persons,4 doors,150 mm,Hybrid,1986 cc,AWD,151 HP @ 6000 RPM,188 Nm @ 5200 RPM,Direct in-cylinder + port fuel injection system (D,177 KM/H,Automatic (CVT),Ventilated Disc,Solid Disc,Alloy Wheels,195/60/R17,17 in,26 KM/L,40 L,24 KM/L,7,5,10,Electric,none,none,none,none,none,none,"['https://cache1.pakwheels.com/system/car_generation_pictures/7604/original/20230110_01_06.jpg?1701413618', 'https://cache4.pakwheels.com/system/car_generation_pictures/7605/original/20230110_01_07.jpg?1701413619', 'https://cache1.pakwheels.com/system/car_generation_pictures/7606/original/20230110_01_46.jpg?1701413916']",['Excellent Fuel Average'],['Low parts availability'],Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,none,Yes,none,Yes,Yes,Yes,none,Yes,Yes,Yes,Yes,Yes,Yes,none,Yes,none,none,none,none,none,none,none,none,none
